//DEXTER.dat - Dexter's stat-growth chart!
//
// lvl is ignored and just exists for readability.  If you mis-number your level, 
// the system will not use those stats for that level.  IE: The third entry will be for 
// level 3 regardless of what lvl it has listed.
//
// A level-up is triggered when the character has reaches the specified XP total.
//
// When this happens, each of the character's stats alter by the value listed.
//
// Note: in the current system, level 1's exp requirement is always effectively 0, since it 
//       is ignored.
//
//          
//  exp     hp  mp  str end mag mgr hit dod stk fer rea ctr
1   0       19  26  5   6   14  13  6   9   1   5   4   0
2   5       2   2   1   1   1   1   1   0   0   0   0   0
3   16      1   2   0   0   1   1   0   1   0   0   0   0
4   34      2   2   1   1   1   1   1   1   0   0   0   0
5   60      1   2   0   0   1   1   0   0   0   0   0   0
6   95      2   2   0   1   1   1   1   1   0   0   0   0
7   140     1   1   1   0   1   1   0   0   0   0   1   0
8   196     2   2   0   1   1   1   1   1   0   0   0   0
9   264     1   2   1   0   1   1   0   1   0   0   0   0
10  345     1   2   0   1   1   1   1   0   0   0   0   0
11  440     2   2   0   0   1   1   0   1   0   0   0   0
12  550     1   2   1   1   1   1   1   1   0   0   0   0
13  676     2   2   0   0   2   0   0   0   0   0   0   0
14  819     1   2   1   1   1   1   1   1   0   0   0   0
15  980     2   2   0   0   1   1   0   1   0   0   0   0
16  1160    1   2   0   1   1   1   1   0   0   0   0   0
17  1360    1   2   1   0   1   1   0   1   0   0   0   0
18  1581    2   2   0   1   1   1   1   1   0   0   0   0
19  1824    1   1   1   0   1   1   0   0   0   0   1   0
20  2090    2   2   0   1   1   1   1   1   0   0   0   0
21  2380    1   2   0   0   1   1   0   0   0   0   0   0
22  2695    2   2   1   1   1   1   1   1   0   0   0   0
23  3026    1   2   0   0   1   1   0   1   0   0   0   0
24  3384    2   2   1   1   1   1   1   0   0   0   0   0
25  3770    1   2   0   0   1   1   0   1   0   0   0   0
26  4185    1   2   0   0   1   1   0   1   0   0   0   0
27  4630    2   2   1   1   1   1   1   0   0   0   0   0
28  5116    1   2   0   0   1   1   0   1   0   0   0   0
29  5634    2   2   1   1   1   1   1   1   0   0   0   0
30  6185    1   2   0   0   1   1   0   0   0   0   0   0
31  6770    2   2   0   1   1   1   1   1   0   0   0   0
32  7390    1   1   1   0   1   1   0   0   0   0   1   0
33  8046    2   2   0   1   1   1   1   1   0   0   0   0
34  8739    1   2   1   0   1   1   0   1   0   0   0   0
35  9470    1   2   0   1   1   1   1   0   0   0   0   0
36  10240   2   2   0   0   1   1   0   1   0   0   0   0
37  11050   1   2   1   1   1   1   1   1   0   0   0   0
38  11901   2   2   0   0   2   0   0   0   0   0   0   0
39  12794   1   2   1   1   1   1   1   1   0   0   0   0
40  13730   2   2   0   0   1   1   0   1   0   0   0   0
41  14710   1   2   0   1   1   1   1   0   0   0   0   0
42  15735   1   2   1   0   1   1   0   1   0   0   0   0
43  16806   2   2   0   1   1   1   1   1   0   0   0   0
44  17924   1   1   1   0   1   1   0   0   0   0   1   0
45  19090   2   2   0   1   1   1   1   1   0   0   0   0
46  20305   1   2   0   0   1   1   0   0   0   0   0   0
47  21570   2   2   1   1   1   1   1   1   0   0   0   0
48  22886   1   2   0   0   1   1   0   1   0   0   0   0
49  24254   2   2   1   1   1   1   1   0   0   0   0   0
50  25675   1   2   0   0   1   1   0   1   0   0   0   0

END_OF_FILE
